instance,best_known,coloring_cwls_primal,coloring_cwls_time_to_best_known,coloring_cwls_time_to_improve,coloring_cwls_time_opt
reecn3382,9999999,77,8.490199979860336e-5,8.490199979860336e-5,-
reecn3988,9999999,66,4.2394000047352165e-5,4.2394000047352165e-5,-
reecn6910,9999999,119,3.5987999581266195e-5,3.5987999581266195e-5,-
reecn7847,9999999,82,5.3259998821886256e-5,5.3259998821886256e-5,-
reecn9674,9999999,135,6.833900260971859e-5,6.833900260971859e-5,-
reecn11799,9999999,161,0.00013001999468542635,0.00013001999468542635,-
reecn12588,9999999,132,5.398199937189929e-5,5.398199937189929e-5,-
reecn15355,9999999,169,0.00010754200047813356,0.00010754200047813356,-
reecn16388,9999999,153,3.872299930662848e-5,3.872299930662848e-5,-
reecn17244,9999999,161,9.814099757932127e-5,9.814099757932127e-5,-
reecn18615,9999999,144,0.0001401939953211695,0.0001401939953211695,-
reecn21194,9999999,187,5.090600097901188e-5,5.090600097901188e-5,-
reecn21946,9999999,186,4.57560017821379e-5,4.57560017821379e-5,-
reecn23484,9999999,177,4.206900121062063e-5,4.206900121062063e-5,-
reecn23945,9999999,202,7.475099846487865e-5,7.475099846487865e-5,-
reecn25913,9999999,242,0.00011613399692578241,0.00011613399692578241,-
reecn27494,9999999,188,0.00017136700625997037,0.00017136700625997037,-
reecn29395,9999999,210,0.00017256400315091014,0.00017256400315091014,-
reecn31126,9999999,240,0.00016743000014685094,0.00016743000014685094,-
reecn32569,9999999,268,0.0002003739937208593,0.0002003739937208593,-
reecn34307,9999999,297,0.0002004020061576739,0.0002004020061576739,-
reecn36204,9999999,313,0.0001655249943723902,0.0001655249943723902,-
reecn37593,9999999,231,7.559199730167165e-5,7.559199730167165e-5,-
reecn39476,9999999,250,7.989099685801193e-5,7.989099685801193e-5,-
reecn41237,9999999,340,6.344899884425104e-5,6.344899884425104e-5,-
reecn42891,9999999,364,7.922900113044307e-5,7.922900113044307e-5,-
reecn44299,9999999,332,0.0001995269994949922,0.0001995269994949922,-
reecn45823,9999999,357,6.565399962710217e-5,6.565399962710217e-5,-
reecn47287,9999999,307,4.3882999307243153e-5,4.3882999307243153e-5,-
reecn48602,9999999,325,0.00018430000636726618,0.00018430000636726618,-
reecn50133,9999999,293,6.271900201682001e-5,6.271900201682001e-5,-
reecn51526,9999999,317,6.477299757534638e-5,6.477299757534638e-5,-
reecn53304,9999999,276,0.00017085000581573695,0.00017085000581573695,-
reecn54867,9999999,280,0.00017920200480148196,0.00017920200480148196,-
reecn56737,9999999,262,0.00020628300262615085,0.00020628300262615085,-
reecn58325,9999999,366,7.107399869710207e-5,7.107399869710207e-5,-
reecn59950,9999999,312,0.000176646004547365,0.000176646004547365,-
reecn61436,9999999,253,5.4543001169804484e-5,5.4543001169804484e-5,-
reecn63079,9999999,302,0.00015348600572906435,0.00015348600572906435,-
reecn64798,9999999,408,0.00021245400421321392,0.00021245400421321392,-
reecn66642,9999999,365,5.050600157119334e-5,5.050600157119334e-5,-
reecn68262,9999999,363,5.1325998356333e-5,5.1325998356333e-5,-
reecn69952,9999999,381,7.302800077013671e-5,7.302800077013671e-5,-
reecn71622,9999999,346,4.727999839815311e-5,4.727999839815311e-5,-
reecn73116,9999999,355,7.478099723812193e-5,7.478099723812193e-5,-
rsqrp4637,9999999,75,6.306899740593508e-5,6.306899740593508e-5,-
rsqrp4641,9999999,72,5.361299918149598e-5,5.361299918149598e-5,-
rsqrp7320,9999999,92,5.2578998293029144e-5,5.2578998293029144e-5,-
rsqrp14364,9999999,137,4.64469994767569e-5,4.64469994767569e-5,-
rsqrp23406,9999999,158,0.00014145899331197143,0.00014145899331197143,-
rsqrp24641,9999999,179,0.00016129499999806285,0.00016129499999806285,-
rsqrpecn8051,9999999,177,0.00016202399274334311,0.00016202399274334311,-
rvisp3499,9999999,33,3.31029987137299e-5,3.31029987137299e-5,-
rvisp5013,9999999,49,3.469600051175803e-5,3.469600051175803e-5,-
rvisp7648,9999999,45,4.3692998588085175e-5,4.3692998588085175e-5,-
