printing solutions in: ./dogs-color/insts/cgshop22/sqrpecn3218.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/sqrpecn3218.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 3218)...
computing neighbors (1000 / 3218)...
computing neighbors (2000 / 3218)...
computing neighbors (3000 / 3218)...
4930       vertices
3218       segments
83         dominations
=======================
CGSHOP Instance: compute neighbors...
computing neighbors (0 / 3218)...
computing neighbors (1000 / 3218)...
computing neighbors (2000 / 3218)...
computing neighbors (3000 / 3218)...
colored 1000 / 3218...
colored 2000 / 3218...
colored 3000 / 3218...
greedy found 138 colors in 0.208 seconds
 time (s)      nb nodes       objective      
---------------------------------------------
  0.062                       138            
  0.072        52.3 k         137            
  0.076        68.9 k         136            
  0.080        73.6 k         135            
  0.084        79.0 k         134            
  0.095        81.1 k         133            
  0.112        84.9 k         132            
  0.121        86.1 k         131            
  0.134        88.3 k         130            
  0.155        90.7 k         129            
  0.172        92.9 k         128            
  0.202        95.5 k         127            
  0.239        98.7 k         126            
  0.298        102.8 k        125            
  0.307        104.1 k        124            
  0.383        107.9 k        123            
  0.445        111.7 k        122            
  0.627        120.6 k        121            
  1.329        148.2 k        120            
  3.764        234.6 k        119            
  247.835      7.3 M          118            
