printing solutions in: ./dogs-color/insts/cgshop22/vispecn16227.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/vispecn16227.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 16227)...
computing neighbors (1000 / 16227)...
computing neighbors (2000 / 16227)...
computing neighbors (3000 / 16227)...
computing neighbors (4000 / 16227)...
computing neighbors (5000 / 16227)...
computing neighbors (6000 / 16227)...
computing neighbors (7000 / 16227)...
computing neighbors (8000 / 16227)...
computing neighbors (9000 / 16227)...
computing neighbors (10000 / 16227)...
computing neighbors (11000 / 16227)...
computing neighbors (12000 / 16227)...
computing neighbors (13000 / 16227)...
computing neighbors (14000 / 16227)...
computing neighbors (15000 / 16227)...
computing neighbors (16000 / 16227)...
24430      vertices
16227      segments
148        dominations
=======================
CGSHOP Instance: compute neighbors...
computing neighbors (0 / 16227)...
computing neighbors (1000 / 16227)...
computing neighbors (2000 / 16227)...
computing neighbors (3000 / 16227)...
computing neighbors (4000 / 16227)...
computing neighbors (5000 / 16227)...
computing neighbors (6000 / 16227)...
computing neighbors (7000 / 16227)...
computing neighbors (8000 / 16227)...
computing neighbors (9000 / 16227)...
computing neighbors (10000 / 16227)...
computing neighbors (11000 / 16227)...
computing neighbors (12000 / 16227)...
computing neighbors (13000 / 16227)...
computing neighbors (14000 / 16227)...
computing neighbors (15000 / 16227)...
computing neighbors (16000 / 16227)...
colored 1000 / 16227...
colored 2000 / 16227...
colored 3000 / 16227...
colored 4000 / 16227...
colored 5000 / 16227...
colored 6000 / 16227...
colored 7000 / 16227...
colored 8000 / 16227...
colored 9000 / 16227...
colored 10000 / 16227...
colored 11000 / 16227...
colored 12000 / 16227...
colored 13000 / 16227...
colored 14000 / 16227...
colored 15000 / 16227...
colored 16000 / 16227...
greedy found 315 colors in 4.074 seconds
 time (s)      nb nodes       objective      
---------------------------------------------
  1.389                       315            
  1.792        1.8 M          314            
  2.188        3.4 M          313            
  3.213        4.7 M          312            
  3.546        5.9 M          311            
  3.894        6.8 M          310            
  4.189        7.6 M          309            
  4.448        8.2 M          308            
  4.776        8.9 M          307            
  5.191        9.3 M          306            
  5.521        9.6 M          305            
  5.771        10.1 M         304            
  6.019        10.5 M         303            
  6.296        10.9 M         302            
  6.533        11.4 M         301            
  6.877        11.7 M         300            
  7.143        12.0 M         299            
  7.525        12.3 M         298            
  7.897        12.6 M         297            
  8.183        12.7 M         296            
  8.388        13.0 M         295            
  8.640        13.2 M         294            
  8.934        13.3 M         293            
  9.454        13.6 M         292            
  9.926        13.6 M         291            
  10.373       13.8 M         290            
  10.852       14.0 M         289            
  11.053       14.2 M         288            
  11.666       14.3 M         287            
  11.899       14.4 M         286            
  12.099       14.5 M         285            
  12.359       14.5 M         284            
  12.723       14.6 M         283            
  12.943       14.7 M         282            
  13.431       14.8 M         281            
  13.836       14.9 M         280            
  14.285       14.9 M         279            
  15.163       14.9 M         278            
  15.405       15.0 M         277            
  16.786       15.0 M         276            
  17.224       15.1 M         275            
  17.490       15.2 M         274            
  18.494       15.2 M         273            
  19.196       15.2 M         272            
  19.738       15.3 M         271            
  21.179       15.3 M         270            
  21.488       15.3 M         269            
  22.455       15.4 M         268            
  23.798       15.4 M         267            
  25.903       15.4 M         266            
  27.918       15.5 M         265            
  33.952       15.5 M         264            
  38.868       15.5 M         263            
  40.740       15.6 M         262            
  44.871       15.6 M         261            
  48.264       15.6 M         260            
  51.056       15.7 M         259            
  57.655       15.7 M         258            
  66.875       15.8 M         257            
  178.394      16.3 M         256            
  486.141      17.6 M         255            
  2907.727     25.6 M         254            
  23075.766    91.2 M         253            
  72457.117    243.3 M        252            
