printing solutions in: ./dogs-color/insts/cgshop22/rvispecn13421.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/rvispecn13421.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 13421)...
computing neighbors (1000 / 13421)...
computing neighbors (2000 / 13421)...
computing neighbors (3000 / 13421)...
computing neighbors (4000 / 13421)...
computing neighbors (5000 / 13421)...
computing neighbors (6000 / 13421)...
computing neighbors (7000 / 13421)...
computing neighbors (8000 / 13421)...
computing neighbors (9000 / 13421)...
computing neighbors (10000 / 13421)...
computing neighbors (11000 / 13421)...
computing neighbors (12000 / 13421)...
computing neighbors (13000 / 13421)...
20102      vertices
13421      segments
146        dominations
=======================
CGSHOP Instance: compute neighbors...
computing neighbors (0 / 13421)...
computing neighbors (1000 / 13421)...
computing neighbors (2000 / 13421)...
computing neighbors (3000 / 13421)...
computing neighbors (4000 / 13421)...
computing neighbors (5000 / 13421)...
computing neighbors (6000 / 13421)...
computing neighbors (7000 / 13421)...
computing neighbors (8000 / 13421)...
computing neighbors (9000 / 13421)...
computing neighbors (10000 / 13421)...
computing neighbors (11000 / 13421)...
computing neighbors (12000 / 13421)...
computing neighbors (13000 / 13421)...
colored 1000 / 13421...
colored 2000 / 13421...
colored 3000 / 13421...
colored 4000 / 13421...
colored 5000 / 13421...
colored 6000 / 13421...
colored 7000 / 13421...
colored 8000 / 13421...
colored 9000 / 13421...
colored 10000 / 13421...
colored 11000 / 13421...
colored 12000 / 13421...
colored 13000 / 13421...
greedy found 227 colors in 1.698 seconds
 time (s)      nb nodes       objective      
---------------------------------------------
  0.751                       227            
  0.976        1.3 M          226            
  1.175        2.3 M          225            
  1.373        3.3 M          224            
  1.543        3.9 M          223            
  1.716        4.5 M          222            
  1.880        5.0 M          221            
  2.070        5.5 M          220            
  2.219        6.0 M          219            
  2.385        6.4 M          218            
  2.558        6.8 M          217            
  2.706        7.1 M          216            
  2.903        7.4 M          215            
  3.069        7.6 M          214            
  3.353        7.8 M          213            
  3.505        8.1 M          212            
  3.661        8.3 M          211            
  3.826        8.5 M          210            
  4.009        8.7 M          209            
  4.219        8.8 M          208            
  4.352        9.0 M          207            
  4.510        9.1 M          206            
  4.719        9.2 M          205            
  4.860        9.3 M          204            
  5.026        9.4 M          203            
  5.162        9.5 M          202            
  5.296        9.6 M          201            
  5.494        9.7 M          200            
  5.706        9.7 M          199            
  5.914        9.8 M          198            
  6.035        9.9 M          197            
  6.182        9.9 M          196            
  6.340        10.0 M         195            
  6.500        10.0 M         194            
  6.740        10.0 M         193            
  6.891        10.0 M         192            
  6.976        10.1 M         191            
  7.129        10.1 M         190            
  7.315        10.1 M         189            
  7.510        10.1 M         188            
  7.811        10.1 M         187            
  7.975        10.2 M         186            
  8.290        10.2 M         185            
  8.426        10.2 M         184            
  8.705        10.2 M         183            
  8.998        10.2 M         182            
  9.258        10.2 M         181            
  9.893        10.3 M         180            
  10.122       10.3 M         179            
  10.760       10.3 M         178            
  11.118       10.3 M         177            
  11.284       10.3 M         176            
  11.828       10.3 M         175            
  12.388       10.3 M         174            
  13.639       10.3 M         173            
  15.196       10.4 M         172            
  16.319       10.4 M         171            
  19.008       10.4 M         170            
  20.258       10.4 M         169            
  22.986       10.5 M         168            
  25.439       10.5 M         167            
  29.927       10.5 M         166            
  33.825       10.6 M         165            
  44.138       10.7 M         164            
  49.681       10.7 M         163            
  84.878       11.0 M         162            
  144.252      11.5 M         161            
  202.530      12.0 M         160            
  1028.804     18.9 M         159            
  4766.071     44.9 M         158            
