instance,best_dual,2021_11_03,2021_11_09,2021_11_12,2021_11_21,gap
reecn3382,72,77,77,77,77,6.49%
reecn3988,64,65,65,65,65,1.54%
reecn6910,111,119,119,119,119,6.72%
reecn7847,82,82,82,82,82,0.00%
reecn9674,129,135,135,135,134,3.73%
reecn11799,150,160,159,160,160,6.25%
reecn12588,131,131,131,131,131,0.00%
reecn15355,160,168,168,168,167,4.19%
reecn16388,151,152,152,152,152,0.66%
reecn17244,157,160,160,160,160,1.88%
reecn18615,142,143,143,143,143,0.70%
reecn21194,183,185,185,185,185,1.08%
reecn21946,182,185,185,185,185,1.62%
reecn23484,174,176,176,176,176,1.14%
reecn23945,198,201,201,201,201,1.49%
reecn25913,221,240,240,240,240,7.92%
reecn27494,184,187,187,187,187,1.60%
reecn29395,199,209,209,209,209,4.78%
reecn31126,229,238,238,238,238,3.78%
reecn32569,244,264,264,264,264,7.58%
reecn34307,261,293,293,293,293,10.92%
reecn36204,266,307,307,307,307,13.36%
reecn37593,225,229,229,229,229,1.75%
reecn39476,235,248,248,248,248,5.24%
reecn41237,291,335,335,335,335,13.13%
reecn42891,290,355,355,355,355,18.31%
reecn44299,296,325,325,325,325,8.92%
reecn45823,297,350,350,350,350,15.14%
reecn47287,290,303,302,302,302,3.97%
reecn48602,299,318,318,318,318,5.97%
reecn50133,278,291,291,291,291,4.47%
reecn51526,296,313,313,313,313,5.43%
reecn53304,267,273,272,272,272,1.84%
reecn54867,270,278,278,278,278,2.88%
reecn56737,250,260,259,259,259,3.47%
reecn58325,333,357,357,357,356,6.46%
reecn59950,292,308,308,308,308,5.19%
reecn61436,236,250,250,250,250,5.60%
reecn63079,290,301,300,300,300,3.33%
reecn64798,354,399,399,399,398,11.06%
reecn66642,342,358,358,358,358,4.47%
reecn68262,336,357,357,357,357,5.88%
reecn69952,355,376,376,376,376,5.59%
reecn71622,329,343,342,342,342,3.80%
reecn73116,337,351,351,351,351,3.99%
rsqrp4637,74,74,74,74,74,0.00%
rsqrp4641,69,72,72,72,72,4.17%
rsqrp7320,91,92,92,92,92,1.09%
rsqrp14364,134,137,137,137,137,2.19%
rsqrp23406,153,159,158,158,158,3.16%
rsqrp24641,175,176,176,176,176,0.57%
rsqrpecn8051,173,177,177,177,177,2.26%
rvisp3499,29,33,33,33,33,12.12%
rvisp5013,46,49,49,49,49,6.12%
rvisp7648,41,45,45,45,45,8.89%
rvisp8404,45,49,49,49,49,8.16%
rvisp8432,41,41,41,41,41,0.00%
rvisp9770,58,61,60,60,60,3.33%
rvisp10374,55,55,55,55,55,0.00%
rvisp11339,67,74,74,74,73,8.22%
rvisp12844,48,51,51,51,51,5.88%
rvisp14562,57,65,65,65,65,12.31%
rvisp15254,71,81,81,81,81,12.35%
rvisp15474,85,92,92,92,92,7.61%
rvisp20601,78,83,83,83,82,4.88%
rvisp22145,103,116,116,116,116,11.21%
rvisp24116,96,108,108,105,105,8.57%
rvispecn2615,34,38,38,38,38,10.53%
rvispecn6048,68,71,71,71,71,4.23%
rvispecn13421,128,158,158,158,158,18.99%
rvispecn17968,138,178,178,178,178,22.47%
sqrp7730,92,93,93,93,93,1.08%
sqrp9831,111,112,112,112,112,0.89%
sqrp10642,123,125,125,125,125,1.60%
sqrp12451,127,127,127,127,127,0.00%
sqrp15532,143,144,144,144,144,0.69%
sqrp18603,151,154,154,154,154,1.95%
sqrp20166,151,155,155,155,155,2.58%
sqrp20602,151,154,154,154,154,1.95%
sqrp23758,174,175,175,175,175,0.57%
sqrp26930,189,190,190,190,190,0.53%
sqrp28863,189,191,191,191,191,1.05%
sqrp30973,190,192,192,192,192,1.04%
sqrp32894,179,187,186,186,186,3.76%
sqrp34718,209,212,212,212,212,1.42%
sqrp36053,190,195,195,195,195,2.56%
sqrp37978,201,206,206,206,206,2.43%
sqrp39917,195,203,203,203,203,3.94%
sqrp41955,200,204,204,204,204,1.96%
sqrp43759,205,215,215,215,215,4.65%
sqrp45933,201,211,210,210,210,4.29%
sqrp47890,190,204,204,204,204,6.86%
sqrp49981,268,270,270,270,270,0.74%
sqrp51004,225,234,234,234,234,3.85%
sqrp53087,238,245,245,245,245,2.86%
sqrp53628,261,266,266,266,266,1.88%
sqrp55426,238,247,247,247,247,3.64%
sqrp56833,242,250,249,249,249,2.81%
sqrp57865,272,277,277,277,277,1.81%
sqrp60119,290,294,294,294,294,1.36%
sqrp62212,244,254,254,254,254,3.94%
sqrp63419,313,318,317,317,317,1.26%
sqrp63650,247,259,259,259,259,4.63%
sqrp65541,240,257,256,256,254,5.51%
