instance,nb_segments,% dom,clique_tabu,rwls_clique_1h,pwls_clique_40h,DSATUR,OG,CWLS_20h,PWLS_40h,best_dual,best_primal,gap
reecn3382,3382,2.48%,62,72,72,94,95,77,77,72,77,6.49%
reecn3988,3988,2.36%,60,64,64,79,79,66,66,64,66,3.03%
reecn6910,6910,1.59%,108,111,111,147,147,119,119,111,119,6.72%
reecn7847,7847,1.58%,81,82,82,95,89,82,82,82,82,0.00%
reecn9674,9674,1.59%,119,129,129,167,161,135,135,129,135,4.44%
reecn11799,11799,1.67%,141,150,149,203,197,161,160,150,160,6.25%
reecn12588,12588,1.17%,119,131,131,164,147,132,131,131,131,0.00%
reecn15355,15355,1.30%,152,160,160,202,199,169,168,160,168,4.76%
reecn16388,16388,1.17%,135,148,151,184,173,153,152,151,152,0.66%
reecn17244,17244,1.13%,150,155,157,197,183,161,160,157,160,1.88%
reecn18615,18615,1.09%,129,142,141,175,159,144,143,142,143,0.70%
reecn21194,21194,0.92%,171,183,181,232,215,187,185,183,185,1.08%
reecn21946,21946,1.12%,166,182,182,232,207,186,185,182,185,1.62%
reecn23484,23484,0.90%,171,174,172,214,199,177,176,174,176,1.14%
reecn23945,23945,0.93%,176,198,197,252,230,202,201,198,201,1.49%
reecn25913,25913,1.10%,211,219,221,302,294,242,240,221,240,7.92%
reecn27494,27494,0.79%,172,184,184,234,208,188,187,184,187,1.60%
reecn29395,29395,0.81%,187,194,199,263,237,210,209,199,209,4.78%
reecn31126,31126,0.93%,208,229,229,304,281,240,238,229,238,3.78%
reecn32569,32569,0.83%,228,243,244,330,318,268,264,244,264,7.58%
reecn34307,34307,0.93%,250,258,261,376,359,297,293,261,293,10.92%
reecn36204,36204,0.98%,257,264,266,388,380,313,307,266,307,13.36%
reecn37593,37593,0.66%,223,218,225,281,255,231,229,225,229,1.75%
reecn39476,39476,0.65%,226,234,235,311,280,250,248,235,248,5.24%
reecn41237,41237,0.83%,280,288,291,416,415,340,335,291,335,13.13%
reecn42891,42891,0.93%,278,283,290,452,439,364,355,290,355,18.31%
reecn44299,44299,0.85%,277,289,296,414,398,332,325,296,325,8.92%
reecn45823,45823,0.76%,293,296,297,436,435,357,350,297,350,15.14%
reecn47287,47287,0.67%,268,279,290,378,359,307,303,290,303,4.29%
reecn48602,48602,0.67%,286,292,299,401,383,325,318,299,318,5.97%
reecn50133,50133,0.67%,269,277,278,361,334,293,291,278,291,4.47%
reecn51526,51526,0.60%,277,295,296,389,367,317,313,296,313,5.43%
reecn53304,53304,0.61%,260,258,267,339,300,276,273,267,273,2.20%
reecn54867,54867,0.59%,254,-1,270,345,305,280,278,270,278,2.88%
reecn56737,56737,0.61%,243,-1,250,324,279,262,260,250,260,3.85%
reecn58325,58325,0.66%,321,329,333,447,429,366,357,333,357,6.72%
reecn59950,59950,0.58%,292,-1,292,387,346,312,308,292,308,5.19%
reecn61436,61436,0.63%,236,-1,236,316,273,253,250,236,250,5.60%
reecn63079,63079,0.54%,275,-1,290,369,331,302,301,290,301,3.65%
reecn64798,64798,0.65%,339,-1,354,496,488,408,399,354,399,11.28%
reecn66642,66642,0.56%,335,-1,342,450,418,365,358,342,358,4.47%
reecn68262,68262,0.54%,330,-1,336,450,416,363,357,336,357,5.88%
reecn69952,69952,0.57%,343,-1,355,460,437,381,376,355,376,5.59%
reecn71622,71622,0.49%,312,-1,329,425,381,346,343,329,343,4.08%
reecn73116,73116,0.50%,318,-1,337,430,394,355,351,337,351,3.99%
rsqrp4637,4637,14.19%,68,74,74,90,81,75,74,74,74,0.00%
rsqrp4641,4641,17.04%,66,69,69,91,77,72,72,69,72,4.17%
rsqrp7320,7320,18.54%,85,91,91,112,95,92,92,91,92,1.09%
rsqrp14364,14364,17.79%,128,134,134,166,143,137,137,134,137,2.19%
rsqrp23406,23406,22.23%,147,151,153,200,166,158,159,153,158,3.16%
rsqrp24641,24641,19.23%,166,174,175,223,187,179,176,175,176,0.57%
rsqrpecn8051,8051,1.84%,158,173,172,221,209,177,177,173,177,2.26%
rvisp3499,3499,47.64%,29,29,29,41,40,33,33,29,33,12.12%
rvisp5013,5013,48.27%,45,46,46,61,64,49,50,46,49,6.12%
rvisp7648,7648,49.93%,40,41,41,50,62,45,46,41,45,8.89%
rvisp8404,8404,47.66%,44,45,45,58,59,49,49,45,49,8.16%
rvisp8432,8432,47.40%,13,41,33,55,51,41,41,41,41,0.00%
rvisp9770,9770,49.01%,50,58,58,72,75,61,61,58,61,4.92%
rvisp10374,10374,48.95%,54,55,55,62,73,55,55,55,55,0.00%
rvisp11339,11339,47.87%,62,67,67,99,94,73,74,67,73,8.22%
rvisp12844,12844,47.94%,46,48,48,68,62,51,51,48,51,5.88%
rvisp14562,14562,48.06%,47,56,57,83,89,64,65,57,64,10.94%
rvisp15254,15254,49.23%,66,71,71,101,104,79,81,71,79,10.13%
rvisp15474,15474,46.34%,81,85,83,116,103,91,92,85,91,6.59%
rvisp20601,20601,46.81%,63,78,78,98,112,82,83,78,82,4.88%
rvisp22145,22145,46.56%,98,103,101,145,134,117,116,103,116,11.21%
rvisp24116,24116,47.52%,90,94,96,141,134,105,108,96,105,8.57%
rvispecn2615,2615,4.86%,32,34,34,45,52,38,38,34,38,10.53%
rvispecn6048,6048,3.19%,52,68,68,90,111,72,72,68,72,5.56%
rvispecn13421,13421,1.09%,111,128,128,227,249,158,158,128,158,18.99%
rvispecn17968,17968,0.87%,128,138,138,243,269,178,179,138,178,22.47%
sqrp7730,7730,16.87%,90,92,92,115,100,94,93,92,93,1.08%
sqrp9831,9831,13.43%,99,111,111,141,123,113,112,111,112,0.89%
sqrp10642,10642,16.56%,117,123,123,153,132,125,125,123,125,1.60%
sqrp12451,12451,17.17%,119,127,127,156,132,128,127,127,127,0.00%
sqrp15532,15532,15.33%,139,142,143,178,150,145,144,143,144,0.69%
sqrp18603,18603,18.66%,143,150,151,193,158,154,154,151,154,1.95%
sqrp20166,20166,18.04%,144,148,151,197,160,157,155,151,155,2.58%
sqrp20602,20602,21.54%,144,151,151,191,164,154,154,151,154,1.95%
sqrp23758,23758,16.04%,169,172,174,218,177,175,175,174,175,0.57%
sqrp26930,26930,15.60%,178,186,189,243,198,192,190,189,190,0.53%
sqrp28863,28863,17.62%,175,188,189,251,201,193,191,189,191,1.05%
sqrp30973,30973,13.62%,178,189,190,255,203,194,192,190,192,1.04%
sqrp32894,32894,20.59%,168,177,179,244,195,187,187,179,187,4.28%
sqrp34718,34718,11.97%,195,206,209,279,225,214,212,209,212,1.42%
sqrp36053,36053,16.68%,179,187,190,265,206,197,195,190,195,2.56%
sqrp37978,37978,19.11%,191,197,201,267,211,208,206,201,206,2.43%
sqrp39917,39917,16.07%,189,191,195,275,216,205,203,195,203,3.94%
sqrp41955,41955,21.03%,194,197,200,279,211,205,204,200,204,1.96%
sqrp43759,43759,16.51%,185,202,205,291,234,218,215,205,215,4.65%
sqrp45933,45933,18.28%,195,199,201,284,228,214,211,201,211,4.74%
sqrp47890,47890,21.00%,182,186,190,274,218,206,204,190,204,6.86%
sqrp49981,49981,13.14%,241,265,268,353,282,273,270,268,270,0.74%
sqrp51004,51004,14.75%,216,222,225,317,251,238,234,225,234,3.85%
sqrp53087,53087,17.78%,215,230,238,318,265,251,245,238,245,2.86%
sqrp53628,53628,17.44%,248,259,261,346,276,270,266,261,266,1.88%
sqrp55426,55426,20.83%,230,233,238,325,257,249,247,238,247,3.64%
sqrp56833,56833,15.79%,220,238,242,344,263,252,250,242,250,3.20%
sqrp57865,57865,15.29%,261,265,272,361,283,280,277,272,277,1.81%
sqrp60119,60119,13.84%,259,-1,290,390,302,297,294,290,294,1.36%
sqrp62212,62212,17.36%,233,-1,244,350,263,257,254,244,254,3.94%
sqrp63419,63419,9.83%,296,306,313,409,334,325,318,313,318,1.57%
sqrp63650,63650,19.75%,235,-1,247,350,277,264,259,247,259,4.63%
sqrp65541,65541,21.28%,234,-1,240,350,267,260,257,240,257,6.61%
sqrp67451,67451,14.89%,257,267,279,386,297,292,289,279,289,3.46%
sqrp69121,69121,17.52%,254,-1,265,376,284,279,276,265,276,3.99%
sqrp69435,69435,18.00%,256,259,264,365,284,278,275,264,275,4.00%
sqrp70811,70811,15.99%,234,-1,258,368,283,275,269,258,269,4.09%
sqrp72075,72075,18.78%,245,-1,259,368,286,276,272,259,272,4.78%
sqrp73525,73525,13.77%,303,-1,326,434,339,335,330,326,330,1.21%
sqrpecn3020,3020,3.15%,111,117,117,135,131,118,119,117,118,0.85%
sqrpecn3218,3218,2.58%,109,116,116,140,138,118,118,116,118,1.69%
sqrpecn5276,5276,2.20%,142,149,149,170,171,149,149,149,149,0.00%
sqrpecn8508,8508,1.89%,204,215,215,265,247,222,222,215,222,3.15%
sqrpecn10560,10560,1.64%,245,255,255,293,279,257,256,255,256,0.39%
sqrpecn10755,10755,1.26%,183,192,192,231,223,196,196,192,196,2.04%
sqrpecn14854,14854,1.40%,263,294,288,361,341,304,304,294,304,3.29%
