instance,DSATUR_primal
tiny10,2
sqrm_5K_1,126
sqrm_5K_2,127
sqrm_5K_3,128
sqrm_5K_4,101
sqrm_5K_5,104
sqrm_5K_6,104
sqrm_10K_1,169
sqrm_10K_2,173
sqrm_10K_3,169
sqrm_10K_4,145
sqrm_10K_5,146
sqrm_10K_6,143
sqrm_50K_1,369
sqrm_50K_2,363
sqrm_50K_3,368
sqrm_50K_4,328
sqrm_50K_5,322
sqrm_50K_6,318
sqrm_100K_1,596
sqrm_100K_2,579
sqrm_100K_3,585
sqrm_100K_4,501
sqrm_100K_5,508
sqrm_100K_6,498
sqrm_500K_1,1483
sqrm_500K_2,1510
sqrm_500K_3,1502
sqrm_500K_4,1242
sqrm_500K_5,1264
sqrm_500K_6,1261
sqrm_1M_1,2175
sqrm_1M_2,2154
sqrm_1M_3,2159
sqrm_1M_4,1770
sqrm_1M_5,1825
sqrm_1M_6,1816
visp_5K,72
visp_10K,49
visp_50K,136
visp_100K,241
visp_500K,447
visp_1M,1035
