c original: rvispecn2615
p edge 2615 322966
e 0 27
e 0 38
e 0 71
e 0 94
e 0 133
e 0 145
e 0 176
e 0 189
e 0 190
e 0 208
e 0 232
e 0 255
e 0 264
e 0 291
e 0 302
e 0 346
e 0 439
e 0 451
e 0 453
e 0 457
e 0 475
e 0 502
e 0 518
e 0 521
e 0 536
e 0 555
e 0 575
e 0 600
e 0 607
e 0 653
e 0 671
e 0 693
e 0 730
e 0 757
e 0 785
e 0 878
e 0 898
e 0 905
e 0 1014
e 0 1017
e 0 1019
e 0 1065
e 0 1112
e 0 1139
e 0 1142
e 0 1179
e 0 1194
e 0 1213
e 0 1222
e 0 1223
e 0 1239
e 0 1248
e 0 1308
e 0 1400
e 0 1415
e 0 1423
e 0 1476
e 0 1477
e 0 1478
e 0 1484
e 0 1493
e 0 1494
e 0 1506
e 0 1521
e 0 1529
e 0 1532
e 0 1545
e 0 1602
e 0 1623
e 0 1626
e 0 1633
e 0 1644
e 0 1654
e 0 1659
e 0 1665
e 0 1682
e 0 1716
e 0 1729
e 0 1744
e 0 1823
e 0 1825
e 0 1845
e 0 1851
e 0 1873
e 0 1875
e 0 1876
e 0 1899
e 0 1903
e 0 1919
e 0 1920
e 0 1935
e 0 1960
e 0 1961
e 0 1977
e 0 2004
e 0 2006
e 0 2009
e 0 2017
e 0 2029
e 0 2071
e 0 2077
e 0 2088
e 0 2108
e 0 2123
e 0 2125
e 0 2155
e 0 2171
e 0 2181
e 0 2184
e 0 2196
e 0 2197
e 0 2200
e 0 2222
e 0 2227
e 0 2276
e 0 2300
e 0 2348
e 0 2351
e 0 2358
e 0 2383
e 0 2411
e 0 2419
e 0 2436
e 0 2438
e 0 2529
e 1 26
e 1 38
e 1 71
e 1 193
e 1 232
e 1 233
e 1 261
e 1 302
e 1 381
e 1 393
e 1 421
e 1 438
e 1 439
e 1 444
e 1 453
e 1 457
e 1 475
e 1 518
e 1 520
e 1 521
e 1 526
e 1 600
e 1 614
e 1 705
e 1 717
e 1 730
e 1 756
e 1 867
e 1 887
e 1 905
e 1 968
e 1 1005
e 1 1076
e 1 1140
e 1 1142
e 1 1194
e 1 1213
e 1 1239
e 1 1249
e 1 1376
e 1 1401
e 1 1423
e 1 1484
e 1 1506
e 1 1625
e 1 1626
e 1 1628
e 1 1642
e 1 1647
e 1 1742
e 1 1744
e 1 1785
e 1 1823
e 1 1851
e 1 1875
e 1 1876
e 1 1892
e 1 1903
e 1 1910
e 1 1920
e 1 1935
e 1 1977
e 1 2004
e 1 2054
e 1 2115
e 1 2125
e 1 2137
e 1 2155
e 1 2184
e 1 2200
e 1 2234
e 1 2238
e 1 2294
e 1 2295
e 1 2340
e 1 2383
e 1 2425
e 1 2462
e 1 2574
e 1 2607
e 2 24
e 2 214
e 2 238
e 2 268
e 2 300
e 2 418
e 2 440
e 2 465
e 2 527
e 2 554
e 2 595
e 2 600
e 2 681
e 2 717
e 2 746
e 2 760
e 2 831
e 2 833
e 2 843
e 2 848
e 2 922
e 2 940
e 2 961
e 2 1001
e 2 1062
e 2 1089
e 2 1090
e 2 1104
e 2 1129
e 2 1137
e 2 1149
e 2 1215
e 2 1232
e 2 1248
e 2 1260
e 2 1369
e 2 1427
e 2 1428
e 2 1429
e 2 1433
e 2 1434
e 2 1511
e 2 1514
e 2 1584
e 2 1590
e 2 1591
e 2 1594
e 2 1632
e 2 1707
e 2 1708
e 2 1725
e 2 1783
e 2 1787
e 2 1792
e 2 1904
e 2 1918
e 2 1926
e 2 1941
e 2 2057
e 2 2067
e 2 2090
e 2 2097
e 2 2105
e 2 2158
e 2 2161
e 2 2167
e 2 2248
e 2 2281
e 2 2297
e 2 2304
e 2 2392
e 2 2426
e 2 2447
e 2 2567
e 2 2588
e 3 9
e 3 28
e 3 31
e 3 32
e 3 37
e 3 55
e 3 61
e 3 94
e 3 104
e 3 129
e 3 136
e 3 145
e 3 176
e 3 179
e 3 184
e 3 190
e 3 243
e 3 246
e 3 254
e 3 255
e 3 262
e 3 263
e 3 270
e 3 271
e 3 279
e 3 292
e 3 302
e 3 339
e 3 357
e 3 358
e 3 371
e 3 426
e 3 451
e 3 480
e 3 484
e 3 487
e 3 521
e 3 530
e 3 536
e 3 559
e 3 583
e 3 632
e 3 639
e 3 669
e 3 671
e 3 676
e 3 677
e 3 689
e 3 690
e 3 704
e 3 713
e 3 715
e 3 726
e 3 729
e 3 735
e 3 736
e 3 777
e 3 824
e 3 839
e 3 855
e 3 893
e 3 894
e 3 907
e 3 917
e 3 919
e 3 950
e 3 951
e 3 963
e 3 964
e 3 969
e 3 975
e 3 990
e 3 1023
e 3 1031
e 3 1032
e 3 1053
e 3 1080
e 3 1112
e 3 1120
e 3 1165
e 3 1166
e 3 1178
e 3 1211
e 3 1217
e 3 1219
e 3 1222
e 3 1239
e 3 1244
e 3 1259
e 3 1260
e 3 1281
e 3 1282
e 3 1292
e 3 1293
e 3 1301
e 3 1309
e 3 1310
e 3 1313
e 3 1319
e 3 1337
e 3 1345
e 3 1394
e 3 1400
e 3 1424
e 3 1446
e 3 1453
e 3 1457
e 3 1464
e 3 1466
e 3 1478
e 3 1495
e 3 1501
e 3 1528
e 3 1570
e 3 1606
e 3 1626
e 3 1665
e 3 1678
e 3 1682
e 3 1693
e 3 1697
e 3 1710
e 3 1716
e 3 1756
e 3 1761
e 3 1770
e 3 1771
e 3 1772
e 3 1788
e 3 1834
e 3 1845
e 3 1859
e 3 1873
e 3 1875
e 3 1893
e 3 1909
e 3 1933
e 3 1950
e 3 1951
e 3 1960
e 3 1961
e 3 1968
e 3 1969
e 3 1977
e 3 1979
e 3 2004
e 3 2031
e 3 2108
e 3 2111
e 3 2139
e 3 2151
e 3 2160
e 3 2171
e 3 2181
e 3 2214
e 3 2222
e 3 2227
e 3 2232
e 3 2239
e 3 2254
e 3 2265
e 3 2292
e 3 2313
e 3 2327
e 3 2371
e 3 2375
e 3 2393
e 3 2415
e 3 2416
e 3 2438
e 3 2457
e 3 2472
e 3 2494
e 3 2569
e 3 2579
e 3 2583
e 3 2586
e 3 2589
e 3 2601
e 3 2614
e 4 13
e 4 15
e 4 44
e 4 59
e 4 125
e 4 126
e 4 183
e 4 188
e 4 189
e 4 190
e 4 245
e 4 314
e 4 413
e 4 414
e 4 462
e 4 463
e 4 474
e 4 495
e 4 513
e 4 519
e 4 615
e 4 616
e 4 618
e 4 714
e 4 776
e 4 777
e 4 779
e 4 790
e 4 796
e 4 805
e 4 806
e 4 835
e 4 881
e 4 918
e 4 926
e 4 928
e 4 1044
e 4 1205
e 4 1206
e 4 1207
e 4 1252
e 4 1305
e 4 1413
e 4 1414
e 4 1417
e 4 1459
e 4 1497
e 4 1507
e 4 1587
e 4 1679
e 4 1718
e 4 1734
e 4 1769
e 4 1838
e 4 1845
e 4 1858
e 4 1872
e 4 1901
e 4 1940
e 4 1983
e 4 1998
e 4 2017
e 4 2032
e 4 2217
e 4 2261
e 4 2285
e 4 2390
e 4 2430
e 4 2521
e 4 2528
e 4 2552
e 4 2582
e 5 184
e 5 1283
e 5 1381
e 5 1603
e 5 1605
e 5 1646
e 5 1690
e 5 1888
e 5 2287
e 5 2402
e 6 44
e 6 48
e 6 60
e 6 68
e 6 71
e 6 93
e 6 99
e 6 117
e 6 119
e 6 132
e 6 149
e 6 150
e 6 172
e 6 202
e 6 204
e 6 213
e 6 256
e 6 310
e 6 311
e 6 312
e 6 313
e 6 336
e 6 382
e 6 383
e 6 384
e 6 386
e 6 413
e 6 443
e 6 449
e 6 519
e 6 565
e 6 566
e 6 608
e 6 616
e 6 641
e 6 683
e 6 737
e 6 777
e 6 779
e 6 831
e 6 833
e 6 852
e 6 909
e 6 921
e 6 999
e 6 1011
e 6 1034
e 6 1109
e 6 1121
e 6 1122
e 6 1243
e 6 1315
e 6 1396
e 6 1450
e 6 1453
e 6 1473
e 6 1497
e 6 1500
e 6 1560
e 6 1594
e 6 1595
e 6 1618
e 6 1679
e 6 1689
e 6 1741
e 6 1765
e 6 1802
e 6 1811
e 6 1819
e 6 1839
e 6 1845
e 6 1942
e 6 1948
e 6 1949
e 6 1956
e 6 1961
e 6 2013
e 6 2014
e 6 2015
e 6 2020
e 6 2021
e 6 2060
e 6 2107
e 6 2145
e 6 2153
e 6 2163
e 6 2168
e 6 2186
e 6 2224
e 6 2243
e 6 2501
e 7 119
e 7 166
e 7 312
e 7 313
e 7 324
e 7 400
e 7 449
e 7 642
e 7 683
e 7 852
e 7 931
e 7 972
e 7 1077
e 7 1122
e 7 1261
e 7 1409
e 7 1454
e 7 1532
e 7 1594
e 7 1595
e 7 1612
e 7 1807
e 7 1811
e 7 1942
e 7 1956
e 7 1961
e 7 2013
e 7 2015
e 7 2021
e 7 2060
e 7 2145
e 7 2168
e 7 2186
e 7 2224
e 7 2243
e 7 2284
e 7 2401
e 7 2570
e 8 264
e 8 265
e 8 538
e 8 664
e 8 1459
e 8 1998
e 8 2390
e 8 2552
e 8 2582
e 8 2594
e 8 2602
e 8 2611
e 9 14
e 9 20
e 9 24
e 9 28
e 9 31
e 9 34
e 9 39
e 9 44
e 9 51
e 9 56
e 9 60
e 9 66
e 9 68
e 9 84
e 9 89
e 9 92
e 9 94
e 9 97
e 9 110
e 9 117
e 9 120
e 9 121
e 9 125
e 9 127
e 9 140
e 9 141
e 9 143
e 9 145
e 9 149
e 9 158
e 9 162
e 9 164
e 9 169
e 9 181
e 9 184
e 9 199
e 9 204
e 9 213
e 9 227
e 9 241
e 9 243
e 9 248
e 9 257
e 9 264
e 9 280
e 9 297
e 9 299
e 9 312
e 9 318
e 9 326
e 9 327
e 9 328
e 9 336
e 9 359
e 9 362
e 9 363
e 9 370
e 9 371
e 9 383
e 9 384
e 9 386
e 9 387
e 9 388
e 9 390
e 9 391
e 9 413
e 9 420
e 9 442
e 9 448
e 9 463
e 9 464
e 9 470
e 9 479
e 9 484
e 9 488
e 9 490
e 9 498
e 9 504
e 9 508
e 9 512
e 9 521
e 9 536
e 9 537
e 9 540
e 9 545
e 9 549
e 9 551
e 9 557
e 9 559
e 9 565
e 9 567
e 9 578
e 9 583
e 9 587
e 9 603
e 9 608
e 9 640
e 9 648
e 9 649
e 9 650
e 9 662
e 9 663
e 9 671
e 9 700
e 9 709
e 9 712
e 9 729
e 9 735
e 9 740
e 9 769
e 9 776
e 9 778
e 9 786
e 9 798
e 9 799
e 9 800
e 9 819
e 9 826
e 9 831
e 9 833
e 9 856
e 9 859
e 9 912
e 9 914
e 9 919
e 9 925
e 9 932
e 9 938
e 9 941
e 9 946
e 9 948
e 9 957
e 9 963
e 9 969
e 9 978
e 9 990
e 9 996
e 9 999
e 9 1034
e 9 1042
e 9 1048
e 9 1050
e 9 1053
e 9 1054
e 9 1067
e 9 1078
e 9 1080
e 9 1096
e 9 1097
e 9 1102
e 9 1103
e 9 1112
e 9 1113
e 9 1124
e 9 1127
e 9 1143
e 9 1153
e 9 1156
e 9 1166
e 9 1168
e 9 1172
e 9 1186
e 9 1190
e 9 1199
e 9 1211
e 9 1219
e 9 1222
e 9 1225
e 9 1236
e 9 1237
e 9 1239
e 9 1240
e 9 1245
e 9 1259
e 9 1260
e 9 1292
e 9 1293
e 9 1300
e 9 1302
e 9 1309
e 9 1310
e 9 1315
e 9 1316
e 9 1318
e 9 1320
e 9 1332
e 9 1336
e 9 1346
e 9 1350
e 9 1355
e 9 1369
e 9 1371
e 9 1379
e 9 1380
e 9 1397
e 9 1400
e 9 1405
e 9 1414
e 9 1424
e 9 1435
e 9 1439
e 9 1447
e 9 1463
e 9 1464
e 9 1472
e 9 1473
e 9 1475
e 9 1488
e 9 1496
e 9 1499
e 9 1518
e 9 1542
e 9 1544
e 9 1549
e 9 1561
e 9 1573
e 9 1575
e 9 1577
e 9 1580
e 9 1583
e 9 1586
e 9 1589
e 9 1594
e 9 1595
e 9 1611
e 9 1616
e 9 1619
e 9 1622
e 9 1626
e 9 1634
e 9 1661
e 9 1663
e 9 1665
e 9 1688
e 9 1694
e 9 1708
e 9 1716
e 9 1724
e 9 1727
e 9 1731
e 9 1743
e 9 1764
e 9 1767
e 9 1768
e 9 1770
e 9 1772
e 9 1775
e 9 1791
e 9 1800
e 9 1802
e 9 1826
e 9 1828
e 9 1834
e 9 1840
e 9 1847
e 9 1858
e 9 1860
e 9 1861
e 9 1866
e 9 1870
e 9 1872
e 9 1873
e 9 1875
e 9 1944
e 9 1946
e 9 1949
e 9 1951
e 9 1956
e 9 1958
e 9 1959
e 9 1965
e 9 1968
e 9 1977
e 9 1990
e 9 1997
e 9 2004
e 9 2014
e 9 2019
e 9 2020
e 9 2022
e 9 2039
e 9 2047
e 9 2060
e 9 2061
e 9 2062
e 9 2068
e 9 2070
e 9 2072
e 9 2073
e 9 2079
e 9 2090
e 9 2094
e 9 2098
e 9 2099
e 9 2100
e 9 2101
e 9 2105
e 9 2108
e 9 2126
e 9 2147
e 9 2154
e 9 2157
e 9 2163
e 9 2166
e 9 2169
e 9 2170
e 9 2171
e 9 2173
e 9 2175
e 9 2180
e 9 2181
e 9 2193
e 9 2202
e 9 2205
e 9 2215
e 9 2216
e 9 2220
e 9 2222
e 9 2228
e 9 2241
e 9 2243
e 9 2251
e 9 2258
e 9 2259
e 9 2262
e 9 2264
e 9 2269
e 9 2279
e 9 2282
e 9 2290
e 9 2311
e 9 2312
e 9 2313
e 9 2315
e 9 2321
e 9 2330
e 9 2332
e 9 2337
e 9 2339
e 9 2346
e 9 2354
e 9 2365
e 9 2368
e 9 2371
e 9 2408
e 9 2416
e 9 2418
e 9 2432
e 9 2438
e 9 2454
e 9 2468
e 9 2505
e 9 2510
e 9 2515
e 9 2523
e 9 2526
e 9 2534
e 9 2541
e 9 2544
e 9 2553
e 9 2563
e 9 2572
e 9 2579
e 9 2581
e 9 2588
e 9 2596
e 9 2605
e 9 2609
e 9 2611
e 10 42
e 10 96
e 10 305
e 10 392
e 10 411
e 10 573
e 10 594
e 10 711
e 10 845
e 10 1164
e 10 1176
e 10 1258
e 10 1411
e 10 1465
e 10 1722
e 10 1757
e 10 2030
e 10 2471
e 10 2600
e 11 96
e 11 161
e 11 182
e 11 240
e 11 261
e 11 392
e 11 394
e 11 398
e 11 411
e 11 413
e 11 562
e 11 573
e 11 594
e 11 610
e 11 638
e 11 643
e 11 711
e 11 731
e 11 744
e 11 749
e 11 765
e 11 793
e 11 873
e 11 876
e 11 943
e 11 976
e 11 986
e 11 1016
e 11 1078
e 11 1164
e 11 1176
e 11 1188
e 11 1257
e 11 1258
e 11 1297
e 11 1301
e 11 1335
e 11 1411
e 11 1465
e 11 1512
e 11 1514
e 11 1593
e 11 1722
e 11 1757
e 11 1856
e 11 1867
e 11 1939
e 11 1975
e 11 2048
e 11 2054
e 11 2095
e 11 2122
e 11 2247
e 11 2270
e 11 2293
e 11 2469
e 11 2471
e 11 2474
e 11 2580
e 11 2600
e 12 40
e 12 335
e 12 407
e 12 442
e 12 541
e 12 817
e 12 1070
e 12 1278
e 12 1649
e 12 1932
e 12 2079
e 12 2142
e 12 2162
e 12 2218
e 12 2245
e 12 2451
e 12 2501
e 12 2505
e 13 15
e 13 44
e 13 59
e 13 77
e 13 125
e 13 126
e 13 183
e 13 272
e 13 413
e 13 414
e 13 474
e 13 513
e 13 519
e 13 616
e 13 618
e 13 642
e 13 714
e 13 790
e 13 795
e 13 835
e 13 840
e 13 918
e 13 926
e 13 928
e 13 1044
e 13 1205
e 13 1207
e 13 1304
e 13 1413
e 13 1414
e 13 1441
e 13 1507
e 13 1587
e 13 1588
e 13 1718
e 13 1728
e 13 1804
e 13 1838
e 13 1872
e 13 1901
e 13 1940
e 13 1983
e 13 1998
e 13 2017
e 13 2032
e 13 2217
e 13 2244
e 13 2261
e 13 2430
e 13 2521
e 13 2582
e 14 23
e 14 31
e 14 32
e 14 37
e 14 51
e 14 61
e 14 68
e 14 84
e 14 94
e 14 129
e 14 143
e 14 159
e 14 176
e 14 181
e 14 184
e 14 189
e 14 190
e 14 199
e 14 200
e 14 216
