c original: vispecn2518
p edge 2518 628404
e 0 19
e 0 60
e 0 76
e 0 77
e 0 79
e 0 156
e 0 179
e 0 188
e 0 201
e 0 203
e 0 265
e 0 385
e 0 386
e 0 462
e 0 485
e 0 487
e 0 543
e 0 544
e 0 591
e 0 596
e 0 617
e 0 639
e 0 667
e 0 670
e 0 681
e 0 699
e 0 702
e 0 771
e 0 795
e 0 796
e 0 797
e 0 806
e 0 825
e 0 838
e 0 876
e 0 885
e 0 944
e 0 1012
e 0 1018
e 0 1022
e 0 1023
e 0 1028
e 0 1045
e 0 1052
e 0 1066
e 0 1115
e 0 1133
e 0 1145
e 0 1146
e 0 1164
e 0 1173
e 0 1214
e 0 1227
e 0 1234
e 0 1277
e 0 1304
e 0 1335
e 0 1347
e 0 1349
e 0 1358
e 0 1404
e 0 1421
e 0 1423
e 0 1424
e 0 1473
e 0 1492
e 0 1572
e 0 1594
e 0 1631
e 0 1636
e 0 1687
e 0 1730
e 0 1733
e 0 1759
e 0 1762
e 0 1790
e 0 1802
e 0 1810
e 0 1850
e 0 1869
e 0 1884
e 0 1887
e 0 1897
e 0 1906
e 0 1921
e 0 1946
e 0 1968
e 0 2067
e 0 2091
e 0 2093
e 0 2097
e 0 2193
e 0 2195
e 0 2230
e 0 2251
e 0 2270
e 0 2287
e 0 2289
e 0 2305
e 0 2352
e 0 2368
e 0 2376
e 0 2378
e 0 2398
e 0 2414
e 0 2428
e 0 2448
e 0 2487
e 1 4
e 1 12
e 1 33
e 1 36
e 1 38
e 1 41
e 1 46
e 1 62
e 1 66
e 1 87
e 1 88
e 1 119
e 1 124
e 1 155
e 1 164
e 1 178
e 1 202
e 1 210
e 1 215
e 1 222
e 1 226
e 1 236
e 1 247
e 1 261
e 1 268
e 1 317
e 1 339
e 1 340
e 1 370
e 1 374
e 1 395
e 1 399
e 1 407
e 1 409
e 1 417
e 1 434
e 1 464
e 1 490
e 1 517
e 1 530
e 1 542
e 1 559
e 1 572
e 1 603
e 1 607
e 1 608
e 1 609
e 1 624
e 1 625
e 1 642
e 1 655
e 1 657
e 1 662
e 1 675
e 1 683
e 1 716
e 1 717
e 1 726
e 1 743
e 1 766
e 1 776
e 1 784
e 1 814
e 1 823
e 1 831
e 1 850
e 1 875
e 1 891
e 1 907
e 1 912
e 1 971
e 1 1037
e 1 1050
e 1 1077
e 1 1078
e 1 1081
e 1 1082
e 1 1084
e 1 1087
e 1 1089
e 1 1090
e 1 1094
e 1 1096
e 1 1098
e 1 1123
e 1 1176
e 1 1177
e 1 1180
e 1 1193
e 1 1195
e 1 1197
e 1 1213
e 1 1218
e 1 1244
e 1 1246
e 1 1261
e 1 1283
e 1 1294
e 1 1324
e 1 1352
e 1 1377
e 1 1380
e 1 1392
e 1 1398
e 1 1405
e 1 1432
e 1 1435
e 1 1449
e 1 1478
e 1 1490
e 1 1491
e 1 1496
e 1 1518
e 1 1523
e 1 1545
e 1 1548
e 1 1556
e 1 1558
e 1 1566
e 1 1596
e 1 1598
e 1 1626
e 1 1627
e 1 1635
e 1 1639
e 1 1660
e 1 1695
e 1 1698
e 1 1753
e 1 1754
e 1 1776
e 1 1789
e 1 1817
e 1 1846
e 1 1852
e 1 1859
e 1 1874
e 1 1892
e 1 1907
e 1 1924
e 1 1931
e 1 1932
e 1 1940
e 1 1947
e 1 1960
e 1 1963
e 1 1989
e 1 1991
e 1 1996
e 1 2003
e 1 2038
e 1 2070
e 1 2083
e 1 2101
e 1 2102
e 1 2109
e 1 2142
e 1 2150
e 1 2171
e 1 2175
e 1 2179
e 1 2187
e 1 2196
e 1 2202
e 1 2204
e 1 2207
e 1 2236
e 1 2239
e 1 2247
e 1 2256
e 1 2257
e 1 2273
e 1 2297
e 1 2298
e 1 2324
e 1 2326
e 1 2328
e 1 2337
e 1 2347
e 1 2349
e 1 2399
e 1 2404
e 1 2451
e 1 2469
e 1 2476
e 1 2495
e 1 2505
e 1 2509
e 2 17
e 2 19
e 2 51
e 2 60
e 2 112
e 2 120
e 2 179
e 2 188
e 2 207
e 2 237
e 2 241
e 2 266
e 2 271
e 2 336
e 2 347
e 2 366
e 2 429
e 2 450
e 2 461
e 2 466
e 2 470
e 2 485
e 2 487
e 2 488
e 2 514
e 2 529
e 2 540
e 2 544
e 2 546
e 2 573
e 2 577
e 2 594
e 2 615
e 2 617
e 2 620
e 2 623
e 2 667
e 2 670
e 2 675
e 2 731
e 2 795
e 2 796
e 2 797
e 2 798
e 2 806
e 2 825
e 2 838
e 2 839
e 2 842
e 2 878
e 2 928
e 2 935
e 2 936
e 2 946
e 2 947
e 2 949
e 2 961
e 2 964
e 2 968
e 2 971
e 2 1005
e 2 1012
e 2 1018
e 2 1023
e 2 1028
e 2 1063
e 2 1065
e 2 1067
e 2 1090
e 2 1114
e 2 1120
e 2 1175
e 2 1193
e 2 1197
e 2 1198
e 2 1218
e 2 1227
e 2 1235
e 2 1258
e 2 1271
e 2 1277
e 2 1285
e 2 1305
e 2 1310
e 2 1329
e 2 1335
e 2 1347
e 2 1349
e 2 1369
e 2 1401
e 2 1416
e 2 1423
e 2 1461
e 2 1465
e 2 1471
e 2 1492
e 2 1507
e 2 1572
e 2 1594
e 2 1631
e 2 1636
e 2 1656
e 2 1668
e 2 1670
e 2 1671
e 2 1684
e 2 1689
e 2 1711
e 2 1714
e 2 1715
e 2 1730
e 2 1733
e 2 1746
e 2 1752
e 2 1759
e 2 1762
e 2 1794
e 2 1801
e 2 1802
e 2 1812
e 2 1820
e 2 1829
e 2 1833
e 2 1850
e 2 1899
e 2 1906
e 2 1914
e 2 1929
e 2 1930
e 2 1931
e 2 1932
e 2 1933
e 2 1935
e 2 1939
e 2 1946
e 2 1950
e 2 1959
e 2 1968
e 2 2004
e 2 2034
e 2 2045
e 2 2046
e 2 2067
e 2 2070
e 2 2073
e 2 2093
e 2 2097
e 2 2109
e 2 2110
e 2 2129
e 2 2172
e 2 2176
e 2 2193
e 2 2195
e 2 2215
e 2 2240
e 2 2251
e 2 2271
e 2 2287
e 2 2305
e 2 2309
e 2 2311
e 2 2312
e 2 2314
e 2 2320
e 2 2341
